,Batch,Eng7,Eng8,Eng9,Math7,Math8,Math9,Sci7,Sci8,Sci9,GWA7,GWA8,GWA9,UP,IQ,Target
222,2006,61,58.0,61,76,72,70.0,77,63,64,2.1462,2.3,2.3402,1,60.0,0
223,2006,55,63.0,68,82,80,91.0,74,72,80,2.0519,1.9227,1.8607,1,57.0,0
224,2006,65,70.0,73,73,75,75.0,79,72,77,1.9528,1.8909,1.918,1,75.0,0
225,2006,63,67.0,64,80,73,64.0,79,64,61,1.9555,2.1227,2.4262,1,83.0,1
226,2006,77,80.0,78,83,78,83.0,85,86,80,1.6792,1.5364,1.8115,2,65.0,1
227,2006,87,87.0,91,90,95,97.0,88,100,93,1.3774,1.1864,1.2623,0,99.0,1
228,2006,59,61.0,63,59,50,53.0,68,58,54,2.4104,2.4227,2.5779,1,25.0,0
229,2006,54,56.0,59,72,66,65.0,64,54,57,2.3715,2.4045,2.459,1,52.0,0
230,2006,79,79.0,81,85,78,82.0,87,76,79,1.5142,1.6682,1.7213,1,83.0,1
231,2006,72,67.0,72,77,66,53.0,81,68,58,1.8538,2.0727,2.2418,1,71.0,1
232,2006,66,62.0,71,84,78,85.0,81,64,81,1.8491,2.1864,1.9262,1,89.0,1
233,2006,64,63.0,65,68,61,61.0,70,58,60,2.2123,2.2682,2.2459,1,38.0,0
234,2007,59,56.0,56,72,67,63.0,60,66,55,2.4057,2.3455,2.4631,1,60.0,0
235,2007,51,53.0,57,57,59,57.0,57,58,55,2.7028,2.6591,2.5861,1,17.0,0
236,2007,58,60.0,63,70,62,64.0,61,61,61,2.3538,2.45,2.3238,1,62.0,0
237,2007,68,65.0,71,82,80,86.0,74,77,69,1.8821,1.9409,1.8852,0,69.0,0
238,2007,65,61.0,67,75,70,65.0,80,69,55,2.0708,2.4364,2.5656,1,91.0,1
239,2007,77,72.0,82,89,75,81.0,89,79,75,1.6557,1.8773,1.9016,0,98.0,1
240,2007,61,67.0,67,67,63,54.0,77,75,62,2.0708,2.0364,2.291,0,68.0,0
241,2007,60,64.0,66,62,58,58.0,73,69,62,2.184,2.2545,2.3934,1,48.0,0
242,2007,62,55.0,56,54,48,41.0,60,54,47,2.4623,2.8955,3.1066,0,40.0,0
243,2007,69,76.0,77,70,68,70.0,72,78,68,2.0,1.8955,1.9098,0,55.0,1
244,2007,69,67.0,78,67,51,48.0,74,59,50,2.1745,2.3455,2.5164,1,83.0,1
245,2007,63,63.0,66,68,71,64.0,61,60,58,2.2783,2.4545,2.3033,1,73.0,0
246,2007,83,81.0,84,82,81,88.0,87,86,73,1.6226,1.6091,1.7869,0,98.0,1
247,2007,66,65.0,61,65,51,48.0,71,67,53,2.1462,2.1909,2.5779,0,50.0,0
248,2007,54,53.0,57,52,59,53.0,62,70,52,2.6462,2.3455,2.4877,1,19.0,0
249,2007,69,75.0,78,87,83,88.0,89,90,85,1.5377,1.5591,1.6598,0,71.0,1
250,2007,83,84.0,91,99,99,99.0,91,92,95,1.3915,1.4,1.2623,0,95.0,1
251,2007,63,57.0,61,62,55,57.0,61,61,53,2.3679,2.4636,2.5041,0,67.0,0
252,2007,55,56.0,64,53,54,56.0,72,60,50,2.5377,2.5864,2.5328,1,31.0,0
253,2007,70,76.0,79,85,86,93.0,86,87,86,1.5708,1.5364,1.4877,1,79.0,1
254,2007,63,60.0,73,79,65,73.0,76,63,62,2.0142,2.4,2.2582,0,75.0,1
255,2007,74,81.0,85,79,78,85.0,88,85,87,1.6038,1.6409,1.582,1,81.0,1
256,2007,87,85.0,89,85,73,78.0,89,86,82,1.3868,1.55,1.6434,0,91.0,1
257,2007,58,62.0,62,76,70,79.0,73,71,71,2.0613,2.1364,2.0902,1,43.0,0
258,2007,62,65.0,71,68,64,74.0,74,67,67,2.0425,2.1591,2.0615,0,35.0,0
259,2007,82,84.0,84,80,76,77.0,89,84,74,1.5613,1.6591,1.791,1,89.0,1
260,2007,65,71.0,74,76,81,87.0,79,80,78,1.8632,1.8045,1.8115,1,57.0,1
261,2007,57,55.0,60,59,56,58.0,59,60,58,2.4858,2.4318,2.5164,1,33.0,0
262,2007,85,87.0,86,90,89,91.0,94,91,88,1.2877,1.3045,1.3197,1,73.0,1
263,2007,73,76.0,70,64,64,59.0,73,72,63,1.9623,2.0091,2.1844,1,57.0,1
264,2007,76,82.0,84,77,69,71.0,88,84,73,1.6509,1.6045,1.7623,1,75.0,1
